row,url,skip_reason
953,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=69975&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
954,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=69987&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
955,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=70009&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
981,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=67115&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
983,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=67146&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
988,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=63924&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1001,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=65843&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1003,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=65689&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1006,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=65724&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1008,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=67647&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1010,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=67683&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1022,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=70445&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1142,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=70626&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1144,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=70642&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1145,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=71342&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1146,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=71463&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1147,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=71478&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1148,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=71487&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1149,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=71508&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1150,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=71509&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1204,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=71805&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1207,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=72419&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1241,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=75871&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1242,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=75881&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1243,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=75884&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
1244,"https://app.pestpac.com/leads/detail.asp?Mode=Edit&SalesOppID=74208&StatusType=","After 2 retries: Selector 'button[name='butReOpen']' not found in any frame after 30000ms"
